,strategy
NUE,2.0
X,2.0
AUY,2.0
CLF,2.0
GFI,2.0
KGC,2.0
HMY,2.0
NGD,2.0
GGB,2.0
TS,2.0
AA,2.0
EGO,2.0
OLN,2.0
JCI,2.0
AU,2.0
CMC,2.0
MAS,0.0
TECK,2.0
TRQ,2.0
WPM,2.0
BTG,2.0
CENX,2.0
HL,2.0
STLD,2.0
AWI,2.0
CDE,2.0
CE,0.0
HUN,2.0
CSTM,2.0
IAG,2.0
WY,2.0
SID,2.0
SLCA,2.0
CF,2.0
LYB,1.0
VMC,0.0
LPX,2.0
NEM,2.0
MEOH,2.0
RIO,2.0
EMN,2.0
MLM,0.0
FOE,2.0
MOS,2.0
MT,2.0
CCJ,2.0
AXTA,2.0
AEM,2.0
PVG,2.0
ASH,2.0
ARLP,2.0
BHP,2.0
AGI,2.0
CBT,2.0
AG,2.0
KS,2.0
NG,0.0
HCLP,2.0
BCC,2.0
UEC,2.0
SQM,2.0
SXT,2.0
FMC,2.0
SCCO,2.0
BMCH,2.0
GRA,2.0
MUX,2.0
TROX,2.0
OEC,2.0
SBGL,2.0
ALB,2.0
OC,0.0
EXP,2.0
MDU,2.0
SAND,2.0
ECL,1.0
RYN,2.0
PPG,2.0
TMST,2.0
FNV,2.0
FUL,2.0
BVN,2.0
EXK,2.0
BBL,2.0
UNVR,2.0
FSM,2.0
PAAS,2.0
UUUU,2.0
SHW,2.0
SSRM,2.0
UFS,2.0
HBM,2.0
VEDL,2.0
MAG,2.0
CRH,0.0
IPI,2.0
BLDR,0.0
GPRE,2.0
RPM,2.0
CMP,2.0
IFF,0.0
AVD,0.0
SMG,2.0
HSC,2.0
WLK,2.0
USCR,0.0
WLKP,2.0
APD,2.0
SXC,2.0
ROCK,0.0
GOLD,2.0
OR,1.0
OMN,2.0
KRA,2.0
URG,2.0
LXU,2.0
AMWD,0.0
BXC,2.0
RFP,2.0
CSTE,2.0
IIIN,2.0
UAN,2.0
SWM,2.0
GLT,2.0
MERC,2.0
AGFS,2.0
RYAM,2.0
PKX,2.0
AXE,2.0
TX,2.0
GSS,2.0
DOOR,2.0
SA,2.0
MTRN,2.0
ALO,2.0
VGZ,2.0
NAK,2.0
THM,2.0
UFPI,0.0
GSV,0.0
POL,2.0
KALU,0.0
KRO,2.0
RGLD,2.0
EVA,2.0
MTX,2.0
TREX,2.0
GPL,2.0
IBP,0.0
AMRS,2.0
KOP,2.0
APOG,2.0
AAON,2.0
AKG,2.0
REX,2.0
CBPX,2.0
IPHS,2.0
KMG,0.0
NX,1.0
GORO,2.0
AMTX,2.0
ICL,2.0
NEU,2.0
BCPC,2.0
TREC,2.0
WWR,2.0
RKDA,2.0
LODE,2.0
TANH,2.0
VHI,2.0
CLW,2.0
HWKN,2.0
GFF,0.0
XPL,2.0
MTL,0.0
NRP,2.0
TGB,2.0
APT,2.0
NWPX,2.0
SCL,0.0
WDFC,0.0
NP,2.0
TGLS,0.0
ACH,2.0
DNN,2.0
IOSP,0.0
PLM,2.0
FF,2.0
KWR,2.0
AUMN,2.0
CMCL,2.0
NTIC,2.0
MBII,2.0
TGEN,2.0
ASPN,2.0
CPAC,2.0
GURE,0.0
OSN,2.0
USAU,2.0
PZG,2.0
AAU,2.0
ASM,2.0
CCCL,0.0
CCR,2.0
CGA,2.0
CHNR,2.0
CINR,2.0
CTHR,2.0
DRD,2.0
EMX,2.0
FRD,2.0
FSI,2.0
GEVO,2.0
GMO,2.0
HNRG,2.0
IGC,2.0
IKNX,2.0
JCTCF,2.0
JHX,0.0
KGJI,2.0
MPVD,2.0
ODC,0.0
PLG,2.0
POPE,2.0
SES,2.0
SIM,2.0
SPPP,2.0
TMQ,2.0
TRX,2.0
UAMY,2.0
USAP,2.0
USLM,2.0
WRN,2.0
YTEN,2.0
PFE,2.0
BMY,0.0
GERN,0.0
GILD,2.0
ABBV,2.0
MRK,2.0
JNJ,2.0
BSX,0.0
ABT,2.0
WBA,0.0
CDNA,2.0
MDT,1.0
CVS,2.0
UNH,0.0
CNC,0.0
CI,0.0
SYNH,0.0
CELG,2.0
BIIB,2.0
GSK,2.0
TEVA,0.0
MYL,2.0
XRAY,0.0
PGNX,2.0
IMGN,0.0
GKOS,2.0
ALXN,2.0
IDRA,2.0
RIGL,0.0
ENDP,2.0
OMER,2.0
AMGN,2.0
TLGT,2.0
PDCO,2.0
BKD,2.0
BDX,1.0
HOLX,0.0
ANTM,1.0
ZBH,2.0
NVAX,0.0
TNDM,2.0
DXCM,0.0
LLY,0.0
HSIC,0.0
CYH,2.0
THC,2.0
SRNE,2.0
OPK,2.0
BAX,2.0
AGN,0.0
HCA,2.0
VRTX,2.0
NKTR,1.0
A,2.0
MNK,2.0
AZN,2.0
DHR,1.0
IMMU,2.0
FOLD,1.0
PDLI,2.0
DVAX,0.0
PKI,0.0
UHS,2.0
ACHC,2.0
NVS,2.0
TTPH,2.0
VRAY,1.0
ALNY,2.0
BMRN,1.0
HRTX,0.0
TXMD,0.0
INSM,1.0
HZNP,0.0
AKBA,1.0
TMO,1.0
ACAD,0.0
ARNA,2.0
QGEN,0.0
CLVS,2.0
ARQL,0.0
LIVN,2.0
AMAG,2.0
DGX,2.0
HALO,0.0
SGMO,2.0
MCK,2.0
ABC,0.0
NVO,0.0
VNDA,2.0
EW,0.0
AMRN,0.0
IONS,2.0
NEOS,2.0
ZTS,1.0
BDSI,2.0
AKRX,2.0
RDNT,2.0
SYK,2.0
PCRX,2.0
ILMN,2.0
ISRG,2.0
PODD,2.0
CAH,1.0
DVA,2.0
AMPE,2.0
REGN,0.0
VKTX,2.0
HUM,0.0
OMI,2.0
EXAS,2.0
RMD,2.0
MDXG,2.0
INCY,0.0
NVCN,2.0
GRFS,2.0
WMGI,2.0
ESPR,2.0
LH,1.0
MOH,0.0
HTGM,2.0
COO,2.0
ABEO,2.0
BLUE,2.0
CORT,0.0
XXII,2.0
AXGN,0.0
BRKR,0.0
NBIX,0.0
JAZZ,2.0
PTLA,0.0
HAE,2.0
LMNX,1.0
TGTX,2.0
DPLO,0.0
BEAT,0.0
XON,0.0
SNY,2.0
CBAY,2.0
AVEO,0.0
SPPI,2.0
IDXX,2.0
ONCS,2.0
SRPT,0.0
SGEN,0.0
TFX,0.0
QDEL,2.0
INVA,2.0
LCI,2.0
WST,0.0
ARWR,2.0
MRNS,2.0
ALGN,0.0
AXDX,0.0
NUVA,0.0
ADVM,2.0
BIOS,2.0
ARAY,2.0
DERM,0.0
AYTU,0.0
PRGO,2.0
PRAH,0.0
CLDX,2.0
VCEL,2.0
SENS,2.0
IQV,0.0
SGRY,2.0
AGEN,0.0
MNTA,0.0
MNKD,2.0
ICPT,2.0
MDCO,0.0
MMSI,1.0
PTN,2.0
PBYI,2.0
IRWD,2.0
VAR,2.0
SUPN,0.0
COLL,0.0
DRNA,2.0
PACB,0.0
AVDL,2.0
NLNK,2.0
CRL,0.0
LNTH,2.0
RHE,2.0
INO,2.0
STE,0.0
MDGS,2.0
ONVO,2.0
FGEN,1.0
ACHN,2.0
SNN,2.0
MRTX,0.0
ABMD,0.0
HRC,2.0
DBVT,0.0
CRBP,2.0
MTD,1.0
BCRX,2.0
CBPO,0.0
CPHI,2.0
ICLR,0.0
DRRX,0.0
IOVA,2.0
TRXC,2.0
OSUR,2.0
NVCR,2.0
CRIS,0.0
PRTK,2.0
ELGX,2.0
AIMT,2.0
NVTA,2.0
CTLT,2.0
CUTR,0.0
RARE,0.0
CBM,0.0
MYOK,0.0
XNCR,2.0
FPRX,0.0
FLXN,2.0
CFMS,0.0
ENZ,2.0
CDXS,0.0
OTIC,2.0
CPRX,2.0
ZIOP,0.0
MDGL,2.0
AERI,2.0
SEM,2.0
KPTI,2.0
IVC,2.0
EHC,2.0
MYGN,0.0
LHCG,0.0
PIRS,2.0
ABIO,2.0
SRRA,2.0
UTHR,0.0
AMED,0.0
CHRS,0.0
CASI,2.0
GMED,0.0
VERU,2.0
ONCE,2.0
PTCT,2.0
ATNM,2.0
CSU,2.0
IART,0.0
CNAT,2.0
LXRX,0.0
ADMS,0.0
RMTI,2.0
ALKS,0.0
SBBP,2.0
ATRS,2.0
WCG,2.0
PTI,0.0
BIOC,2.0
ABUS,2.0
STML,2.0
NVRO,0.0
GEN,2.0
ADXS,0.0
FMS,0.0
RDY,2.0
CERS,2.0
ANGO,2.0
CTMX,0.0
RDUS,0.0
GWPH,2.0
MGLN,2.0
ADMP,2.0
ACRS,0.0
MD,2.0
CNCE,0.0
QTNT,2.0
ZGNX,0.0
VIVO,0.0
CTIC,2.0
CTSO,2.0
ACOR,2.0
ALIM,2.0
GNMK,2.0
VYGR,0.0
LGND,0.0
BIO,0.0
RVNC,0.0
VBLT,2.0
BPMC,0.0
NBRV,2.0
TVTY,2.0
TECH,2.0
ATRA,2.0
GLYC,2.0
QURE,1.0
ICUI,0.0
WVE,2.0
SYBX,2.0
XLRN,0.0
LMAT,0.0
BLRX,2.0
CRMD,2.0
CMD,0.0
ADUS,2.0
CRHM,0.0
HIIQ,2.0
SIEN,2.0
ITGR,2.0
RGEN,0.0
EBS,0.0
SAGE,0.0
CALA,2.0
ARDX,2.0
ADAP,2.0
TRVN,0.0
LJPC,0.0
MLNT,0.0
VSTM,2.0
STAA,2.0
ADMA,2.0
ENTA,2.0
HBIO,2.0
NSTG,2.0
CDMO,2.0
CGIX,2.0
INGN,0.0
ANIP,2.0
GNCA,2.0
PRSC,0.0
FATE,2.0
TTOO,2.0
AMPH,0.0
CNMD,2.0
CYTK,0.0
FONR,0.0
CRY,2.0
AGIO,2.0
CO,0.0
EARS,0.0
HSKA,0.0
USPH,0.0
CARA,0.0
CMRX,2.0
TARO,2.0
NEO,0.0
MTEM,2.0
RTTR,2.0
ASMB,2.0
CHE,0.0
CDTX,2.0
MEIP,2.0
XENT,0.0
TCON,2.0
NERV,2.0
FCSC,0.0
BLCM,2.0
RGNX,2.0
AFMD,0.0
EIGR,2.0
ATRC,1.0
SRDX,2.0
OCUL,2.0
EPZM,2.0
ADRO,2.0
PLX,2.0
CFRX,0.0
ENSG,2.0
RWLK,2.0
TBPH,1.0
PAHC,2.0
ALDX,2.0
ONTX,2.0
JAGX,2.0
CSII,2.0
RTIX,2.0
NEOG,0.0
GNMX,0.0
GALT,2.0
AUPH,2.0
DFFN,2.0
VIVE,0.0
OFIX,0.0
GLMD,0.0
MDWD,0.0
ZFGN,2.0
ZSAN,2.0
CCXI,0.0
ARA,2.0
KIN,2.0
MACK,2.0
ATHX,2.0
PLXP,2.0
XOMA,2.0
NVIV,0.0
PULM,2.0
SCYX,2.0
NTRA,2.0
MBOT,2.0
APTO,2.0
SNSS,2.0
VCYT,2.0
CGEN,2.0
FOMX,2.0
MGEN,2.0
KMPH,0.0
RCKT,0.0
CLSN,2.0
OCX,2.0
CLLS,2.0
NTEC,2.0
FBIO,0.0
AGRX,0.0
AGTC,2.0
CBIO,2.0
SPNE,2.0
IMUC,2.0
INFU,2.0
MGNX,2.0
AMEH,2.0
AXSM,2.0
HTBX,2.0
KALV,2.0
MCRB,2.0
PSTI,2.0
FVE,2.0
IBIO,2.0
VNRX,1.0
CERC,2.0
CBMG,0.0
ASND,2.0
ANIK,2.0
PRQR,2.0
UTMD,2.0
CATB,2.0
MTNB,0.0
RSLS,2.0
ZYNE,2.0
SNOA,2.0
NSPR,2.0
RDHL,2.0
NHC,2.0
INFI,2.0
BSPM,2.0
ATOS,2.0
BIOL,2.0
MNOV,2.0
NURO,2.0
OXFD,2.0
PFNX,0.0
RVP,2.0
SNGX,1.0
CSBR,2.0
AVGR,0.0
ACHV,2.0
ALT,2.0
ANTH,0.0
CHFS,2.0
CPIX,2.0
DRIO,0.0
LIFE,2.0
LPCN,0.0
NEPT,2.0
TROV,1.0
TTNP,0.0
VTVT,2.0
FWP,2.0
ALBO,2.0
JYNT,2.0
CWBR,2.0
CYAD,2.0
AKER,2.0
ATRI,1.0
AHPI,2.0
ARCT,0.0
BLPH,2.0
BSTC,1.0
CHEK,2.0
CYCC,2.0
DRAD,0.0
EDAP,0.0
EKSO,2.0
EYES,2.0
IRMD,0.0
KTOV,2.0
NVUS,2.0
OGEN,0.0
RGLS,2.0
SLS,2.0
SYN,0.0
TENX,2.0
TNXP,0.0
TRIB,2.0
XENE,2.0
XTNT,2.0
PRTO,0.0
VRML,2.0
ACER,2.0
SMMT,1.0
AEZS,2.0
AKTX,2.0
ALPN,2.0
AMS,2.0
APEN,2.0
ATEC,2.0
BASI,2.0
BCLI,2.0
BLFS,0.0
BMRA,0.0
BNTC,2.0
BPMX,2.0
BPTH,2.0
BVXV,2.0
CANF,2.0
CAPR,2.0
CATS,2.0
CBLI,2.0
CCM,2.0
CDMOP,1.0
CEMI,0.0
CHMA,2.0
CLBS,2.0
CLRB,2.0
CVM,2.0
CYCCP,2.0
CYTR,2.0
DARE,2.0
DVCR,2.0
DYNT,2.0
ELMD,2.0
EPIX,2.0
EVFM,2.0
EVGN,2.0
EVOK,2.0
EYEG,2.0
FCRE,2.0
GENE,0.0
ICCC,0.0
IDXG,2.0
IMMP,0.0
ISR,2.0
KMDA,2.0
KZIA,2.0
LAKE,0.0
LLIT,2.0
MESO,2.0
MICR,2.0
MLSS,2.0
MSON,2.0
MTP,2.0
MYOS,2.0
NAOV,0.0
NAVB,2.0
NBY,2.0
NMRD,2.0
NNVC,2.0
OPGN,2.0
ORMP,0.0
PDEX,2.0
PMD,2.0
PRPH,2.0
SLNO,0.0
SSKN,2.0
SSY,2.0
TRIL,0.0
VTGN,0.0
VVUS,2.0
VXRT,2.0
XBIT,2.0
XTLB,2.0
CMCSA,2.0
SIRI,0.0
CZR,2.0
F,2.0
NKE,0.0
BABA,2.0
GM,2.0
LOW,0.0
MAT,2.0
MIK,2.0
DIS,1.0
LEN,1.0
MGM,2.0
CCL,0.0
DISCA,2.0
EBAY,0.0
KBH,2.0
DISCK,2.0
ETSY,2.0
GES,2.0
WYNN,2.0
CHS,2.0
SBUX,0.0
LVS,2.0
IMAX,0.0
HD,0.0
MLCO,2.0
DHI,0.0
HRB,2.0
IPG,0.0
NYT,2.0
JCP,2.0
TV,2.0
SEE,2.0
M,2.0
TSLA,1.0
TPR,2.0
LKQ,2.0
FCAU,0.0
LULU,2.0
UAA,0.0
GTN,0.0
KAR,1.0
DKS,2.0
GPK,2.0
TJX,2.0
KSS,2.0
DRI,0.0
VFC,2.0
BLL,2.0
ODP,2.0
TOL,2.0
JMEI,2.0
GME,2.0
LB,0.0
TIF,2.0
DLPH,0.0
NCLH,0.0
WEN,0.0
GPS,2.0
MGA,2.0
AEO,0.0
NWS,2.0
IP,2.0
DAN,2.0
BBY,2.0
SBH,2.0
YUM,2.0
GIII,2.0
GT,0.0
FWONK,1.0
ARMK,2.0
APTV,0.0
CTB,1.0
SKX,0.0
PHM,2.0
FL,0.0
BBBY,2.0
MAR,2.0
SHOO,2.0
ANF,2.0
MTOR,2.0
EVC,0.0
TSCO,1.0
URBN,2.0
ETM,2.0
TPH,2.0
IGT,2.0
BLMN,2.0
GNTX,2.0
RCL,0.0
W,0.0
MDC,2.0
ALV,0.0
BYD,0.0
WGO,2.0
FBHS,0.0
EXPE,0.0
TVPT,2.0
OUT,2.0
CROX,2.0
QRTEA,2.0
TRIP,0.0
RH,2.0
VIAB,2.0
QSR,2.0
ETH,2.0
BGFV,2.0
CBS,2.0
WRK,2.0
MCD,0.0
AXL,2.0
SIG,2.0
TILE,0.0
CAKE,2.0
TMHC,2.0
BZUN,2.0
NWSA,2.0
ULTA,0.0
PRTY,2.0
JACK,2.0
CPRT,2.0
EAT,2.0
DXLG,2.0
OMC,2.0
MHK,0.0
SPWH,0.0
CTAS,0.0
HAS,0.0
AN,2.0
VC,2.0
DPZ,0.0
TTM,2.0
FIVE,2.0
SIX,0.0
HTHT,0.0
PENN,0.0
UA,2.0
THO,2.0
TGNA,2.0
THRM,0.0
HLT,2.0
PIR,2.0
STAY,2.0
ROST,0.0
CSL,2.0
WSM,2.0
BWA,2.0
CAL,2.0
OI,2.0
MATW,1.0
PLNT,2.0
MELI,2.0
SGMS,2.0
ARCO,2.0
JWN,2.0
SBGI,0.0
PLAY,0.0
TSE,0.0
LYV,2.0
ELY,0.0
H,2.0
EXPR,0.0
VSTO,0.0
DDS,2.0
CUK,0.0
KMX,2.0
PLCE,2.0
SCHL,1.0
SEAS,0.0
WPRT,2.0
BOOT,2.0
RL,2.0
ALSN,2.0
GPC,2.0
AMC,2.0
GCI,2.0
ORLY,0.0
HOG,2.0
TUP,2.0
TXRH,2.0
LZB,2.0
CVGI,2.0
MUSA,2.0
CNK,2.0
MTN,0.0
LEE,2.0
BJRI,2.0
EVRI,2.0
PII,2.0
TLRD,2.0
SCI,0.0
BERY,0.0
CCK,2.0
CPS,0.0
HIBB,2.0
LGIH,0.0
CMG,2.0
DNKN,2.0
FRAN,2.0
QUOT,2.0
PKG,2.0
DENN,2.0
MDCA,2.0
WLH,2.0
CETV,2.0
PZZA,2.0
BGI,2.0
POOL,0.0
COLM,1.0
CBD,2.0
LOCO,2.0
RUSHA,2.0
WMS,2.0
MCFT,2.0
ERI,0.0
OSTK,2.0
FOXF,2.0
LEG,2.0
BC,2.0
MBUU,2.0
CALI,1.0
ZUMZ,2.0
SSP,2.0
DLTH,2.0
GDEN,0.0
PVH,2.0
ASNA,2.0
VRA,2.0
BFAM,0.0
TEN,2.0
SUP,2.0
LL,2.0
LEA,0.0
TAST,0.0
MOD,2.0
WBC,2.0
SAH,2.0
HZO,2.0
SLGN,2.0
HMC,1.0
GPI,2.0
HOV,2.0
AMCX,0.0
TPX,0.0
PLYA,2.0
HVT,2.0
DIN,2.0
SON,2.0
NLS,1.0
GIL,2.0
NEWM,2.0
TCS,2.0
GEF,2.0
MPAA,1.0
MTH,2.0
CONN,0.0
TOUR,0.0
CHH,2.0
MDP,2.0
WWE,0.0
MINI,2.0
MMYT,2.0
BKNG,1.0
VSI,2.0
LCII,0.0
RRGB,2.0
HUD,1.0
SCVL,2.0
FUN,0.0
DORM,2.0
AIN,2.0
AZO,0.0
TM,2.0
LAD,0.0
FLWS,2.0
MSG,2.0
CBRL,2.0
ENT,2.0
LE,2.0
PAG,2.0
BBGI,2.0
EROS,2.0
GAIA,2.0
MSGN,2.0
BKE,2.0
TA,2.0
INWK,2.0
MNRO,0.0
MCHX,2.0
SHAK,2.0
PSO,2.0
FWONA,1.0
PATK,0.0
INUV,0.0
NXST,0.0
WING,2.0
BZH,2.0
KIRK,2.0
VAC,2.0
ZAGG,0.0
FGP,2.0
RELX,2.0
ICON,2.0
RGS,2.0
CCO,2.0
ATR,1.0
ABG,2.0
CATO,2.0
CCS,2.0
CHUY,0.0
CTRN,2.0
RACE,2.0
HI,2.0
WBAI,0.0
CHDN,0.0
RICK,2.0
FRGI,2.0
SKY,2.0
MOV,2.0
CRWS,1.0
LQDT,2.0
TSQ,2.0
PBPB,2.0
TACO,1.0
NDLS,2.0
UNF,2.0
CLUB,2.0
RUTH,1.0
HABT,2.0
CSS,2.0
SRI,0.0
BNED,2.0
MED,2.0
MCRI,0.0
JAKK,0.0
CMPR,1.0
RLH,1.0
WPP,0.0
OXM,0.0
CMT,2.0
RDI,2.0
LCUT,2.0
DLB,2.0
NATH,2.0
MCS,2.0
SMP,2.0
RCKY,2.0
SYX,2.0
GCO,2.0
NVR,0.0
SQBG,2.0
BLBD,2.0
SMRT,2.0
IHG,2.0
EDUC,0.0
FLXS,0.0
VALU,2.0
MYE,2.0
NC,2.0
EVI,0.0
CNET,2.0
HOFT,0.0
SALM,2.0
GHC,2.0
CSV,0.0
LIND,1.0
WEYS,2.0
STKS,2.0
VOXX,2.0
SORL,2.0
CRMT,2.0
LITB,2.0
MHO,2.0
CNTY,0.0
STON,1.0
TLYS,2.0
DXYN,2.0
CYRX,2.0
KNDI,2.0
CLAR,2.0
PLOW,2.0
CVCO,2.0
ARKR,1.0
SRAX,0.0
SSI,2.0
NYNY,2.0
JOUT,2.0
MLR,1.0
SGC,0.0
BH,2.0
UFPT,2.0
VIA,2.0
BSET,0.0
CIDM,2.0
CULP,0.0
DLA,0.0
FLL,0.0
GFA,2.0
NTN,2.0
NVFY,2.0
RAVE,2.0
STRT,2.0
TLF,2.0
TWMC,1.0
UFI,2.0
MKGI,2.0
RUSHB,2.0
AHC,2.0
ATV,2.0
BDL,2.0
BTN,1.0
BURG,2.0
CAAS,2.0
CCZ,2.0
CPHC,0.0
CTIB,0.0
CXDC,2.0
DGSE,2.0
DHXM,2.0
DISCB,2.0
DJCO,2.0
DSWL,2.0
DVD,2.0
EMMS,2.0
ESCA,2.0
EVK,2.0
FFHL,0.0
FORD,0.0
FORK,2.0
GNUS,2.0
GTIM,2.0
HHS,2.0
HOVNP,2.0
INSE,2.0
ISIG,2.0
JMU,2.0
KBSF,2.0
LUB,2.0
MANU,1.0
MNI,2.0
NAKD,2.0
NTZ,2.0
NWHM,2.0
QRTEB,2.0
SAUC,2.0
SGA,2.0
SHSP,2.0
SYPR,2.0
TKAT,0.0
UONE,2.0
UONEK,2.0
VNCE,2.0
WINA,2.0
XELB,0.0
GE,0.0
DAL,2.0
BA,0.0
JBLU,0.0
KNX,2.0
NLSN,2.0
LUV,2.0
CSX,2.0
PAYX,0.0
MMM,2.0
ARNC,2.0
UAL,2.0
DE,2.0
AAL,2.0
CAT,2.0
DOV,2.0
RTN,0.0
BAH,0.0
UTX,2.0
EMR,2.0
ADP,2.0
AER,1.0
ETN,2.0
ATI,2.0
HON,2.0
BCO,0.0
UNP,2.0
LMT,0.0
MTZ,2.0
UPS,2.0
GD,2.0
PWR,2.0
STNG,2.0
RSG,1.0
TOPS,2.0
KMT,2.0
FLR,2.0
FDX,2.0
AOBC,0.0
GWW,2.0
CMI,2.0
CNHI,2.0
NSC,2.0
HA,0.0
ITW,2.0
IRM,2.0
NOC,0.0
FLT,2.0
RXN,2.0
OSK,2.0
AMN,0.0
PCAR,2.0
IR,2.0
TISI,2.0
HMSY,2.0
KSU,2.0
GLOG,2.0
JBHT,2.0
EXPD,2.0
WERN,2.0
HCSG,0.0
CP,2.0
PNR,2.0
NAT,0.0
MLHR,2.0
FAST,2.0
BR,0.0
XPO,2.0
AGCO,2.0
CAR,2.0
URI,2.0
MCO,2.0
KBR,2.0
FISV,0.0
SAVE,2.0
CVA,2.0
SCS,2.0
CXW,2.0
PH,2.0
HDS,2.0
ATSG,0.0
ALLE,0.0
ERJ,2.0
AOS,0.0
KTOS,2.0
TRN,2.0
SPGI,1.0
RYAAY,0.0
HTZ,2.0
IEX,2.0
EFX,0.0
ROK,2.0
WM,2.0
RHI,2.0
AL,2.0
TDG,0.0
CAJ,2.0
CNI,2.0
SPAR,2.0
NMFC,2.0
BLDP,2.0
WCN,0.0
ABM,2.0
TYME,0.0
ALK,0.0
TEX,2.0
HDSN,2.0
CVEO,2.0
TRU,2.0
XYL,2.0
DY,0.0
CVG,0.0
QUAD,2.0
WAIR,2.0
TPC,2.0
ECHO,2.0
SSW,2.0
BECN,0.0
MWA,2.0
TKR,2.0
CLGX,2.0
G,0.0
CFX,2.0
CMCO,2.0
CRS,2.0
CATM,2.0
KNL,2.0
MRTN,2.0
DLX,2.0
MAN,0.0
AAXN,2.0
TNET,2.0
EEFT,0.0
TRI,2.0
PBI,2.0
JEC,2.0
WWD,2.0
TTC,0.0
HOLI,2.0
WAB,2.0
MTW,2.0
MIC,1.0
CHRW,2.0
LTM,2.0
DXPE,2.0
SPR,0.0
RCII,2.0
SERV,0.0
WNC,2.0
CSGP,0.0
FLS,2.0
RS,2.0
HEI,2.0
BWXT,0.0
WOR,2.0
HTLD,2.0
NAV,2.0
HII,0.0
MSA,2.0
ACM,2.0
SRCL,2.0
RYI,2.0
WNS,0.0
GLNG,2.0
RRD,2.0
TBI,0.0
MGRC,2.0
SPXC,2.0
TGI,2.0
R,2.0
GPN,0.0
FLOW,2.0
DHT,1.0
AAWW,2.0
DCI,2.0
FTAI,2.0
DSS,2.0
SBLK,2.0
CWST,0.0
AAN,2.0
AJRD,2.0
MLI,2.0
NDSN,2.0
ASC,1.0
LII,0.0
OSG,2.0
JKHY,0.0
VRSK,0.0
ATTO,2.0
GMLP,2.0
TNK,0.0
CPA,2.0
ASTE,2.0
UEPS,0.0
NMM,2.0
HSII,0.0
KEX,2.0
B,2.0
SCHN,2.0
NM,2.0
HSON,2.0
GVA,0.0
ODFL,2.0
TGP,2.0
ROP,0.0
RBA,2.0
NVGS,2.0
ACTG,2.0
GATX,2.0
MSM,2.0
GGG,2.0
GTLS,2.0
SKYW,0.0
NPO,2.0
SHLO,2.0
ITT,2.0
WCC,2.0
BRC,2.0
MCRN,2.0
SFL,0.0
PMTS,2.0
SALT,2.0
STB,2.0
GBX,2.0
GWR,2.0
VVI,2.0
EGL,0.0
ICFI,2.0
ACIW,2.0
CECE,2.0
III,2.0
YRCW,2.0
KRNT,2.0
CYD,2.0
MYRG,2.0
GLDD,2.0
LIQT,2.0
ENV,2.0
